property_id,rental_address,amenity_type,amenity_name,lat,lon
4002039809,"Erlenmattstr. 75, 4058 Basel",pharmacy,Coop Vitality,47.5697544,7.6036227
4002039809,"Erlenmattstr. 75, 4058 Basel",restaurant,Matt & Elly Brewery & Kitchen,47.56969,7.6034296
4002080979,"Fahrnstrasse 25, 9402 Mörschwil",parking,n/a,47.4628197,9.4336961
4002058756,"Volkmarstrasse 15, 8006 Zürich",restaurant,Kreis 6,47.3861132,8.5452851
4002053936,"Niklaus Konrad-Strasse 4, 4500 Solothurn",atm,UBS,47.2048431,7.5407604
4002053936,"Niklaus Konrad-Strasse 4, 4500 Solothurn",fast_food,Efem Imbiss & Café,47.2046306,7.5405994
4002053936,"Niklaus Konrad-Strasse 4, 4500 Solothurn",cafe,Vorstadt Bistro,47.2048838,7.5408996
4002053936,"Niklaus Konrad-Strasse 4, 4500 Solothurn",pharmacy,Medbase Apotheke Solothurn,47.2051064,7.5405056
4002053936,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Akropolis,47.2048882,7.5389356
4002053936,"Niklaus Konrad-Strasse 4, 4500 Solothurn",fast_food,Solo Imbiss,47.2048779,7.5368448
4002053936,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Trattoria Napoli,47.2045375,7.5362046
4002053936,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Notausgang,47.2044483,7.5363896
4002053936,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Adler,47.2047763,7.5361643
4002053936,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Sonne,47.2047854,7.5363896
4002053936,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Vini-Al Grappolo,47.2049778,7.5368094
4002053936,"Niklaus Konrad-Strasse 4, 4500 Solothurn",pub,Steinbock,47.2046387,7.5379426
4002053936,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Fragale,47.2046861,7.5375537
4002053936,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Fu-Lin,47.2037603,7.5390531
4002053936,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Thai Sunshine,47.2047013,7.5364428
4002053936,"Niklaus Konrad-Strasse 4, 4500 Solothurn",cafe,Steiner,47.2049949,7.5407086
4002053936,"Niklaus Konrad-Strasse 4, 4500 Solothurn",parking,n/a,47.2037855,7.5398567
4002053936,"Niklaus Konrad-Strasse 4, 4500 Solothurn",school,Kaufmännische Berufsschule,47.2049253,7.5382655
4002053936,"Niklaus Konrad-Strasse 4, 4500 Solothurn",fast_food,Metro Pizza,47.2051584,7.5409779
4002053936,"Niklaus Konrad-Strasse 4, 4500 Solothurn",fast_food,Amun Take-Away,47.2049508,7.540494
4002053936,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Thung Thong,47.2047057,7.537415
4002053936,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,così Ristorante & Pizzeria,47.2047969,7.5370633
