address,price,lat,lon,property_id,rooms,area,cafe_count,cafe_present,restaurant_count,restaurant_present,bar_count,bar_present,pub_count,pub_present,fast_food_count,fast_food_present,school_count,school_present,university_count,university_present,library_count,library_present,hospital_count,hospital_present,clinic_count,clinic_present,pharmacy_count,pharmacy_present,bank_count,bank_present,atm_count,atm_present,bus_station_count,bus_station_present,parking_count,parking_present,total_amenities
"Bläsiring 10, 4057 Basel",2880,47.5683969,7.5871397,4002065802,4.5,115.0,14,1,38,1,17,1,5,1,15,1,0,0,0,0,1,1,0,0,0,0,4,1,0,0,5,1,0,0,5,1,104
"Erlenmattstr. 75, 4058 Basel",2880,47.5705088,7.6031744,4002039809,4.5,115.0,14,1,42,1,8,1,3,1,11,1,3,1,1,1,2,1,0,0,0,0,4,1,1,1,7,1,0,0,7,1,103
"Käferholzstrasse 60, 8057 Zürich",2880,47.4025426,8.532090116551142,4001947102,4.5,115.0,2,1,15,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,24
"Fahrnstrasse 25, 9402 Mörschwil",2880,47.4639669,9.432168388679248,4002080979,4.5,115.0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,5,1,11
"Herrenhof 868, 9240 Niederglatt",2880,47.4240752,9.1598683,4002077676,4.5,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
"weidstrasse 11, 8620 Wetzikon ZH",2880,47.3313055,8.797855599364542,4002077272,4.5,115.0,3,1,1,1,0,0,0,0,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,4,1,13
"Muttenzerstrasse 129, 4127 Birsfelden",2880,47.5447189,7.62688715,4002059199,4.5,115.0,4,1,14,1,2,1,0,0,3,1,1,1,0,0,1,1,0,0,1,1,5,1,1,1,2,1,0,0,13,1,47
"Volkmarstrasse 15, 8006 Zürich",2880,47.38532765,8.543725200223658,4002058756,4.5,115.0,10,1,31,1,0,0,1,1,15,1,7,1,0,0,2,1,0,0,0,0,3,1,1,1,0,0,0,0,1,1,71
"Niklaus Konrad-Strasse 4, 4500 Solothurn",2880,47.20451390210879,7.539104019684887,4002053936,4.5,115.0,15,1,55,1,9,1,5,1,20,1,2,1,0,0,3,1,0,0,0,0,3,1,8,1,11,1,0,0,5,1,136
"Hölzliweg 9, 8405 Winterthur",2880,47.4859972,8.77093975,4002014835,4.5,115.0,3,1,7,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,11,1,30
"Weidmannstrasse 13, 8046 Zürich",2880,47.42325975,8.502611041329322,4001972648,4.5,115.0,2,1,12,1,2,1,0,0,4,1,1,1,0,0,1,1,0,0,0,0,2,1,0,0,2,1,0,0,3,1,29
"Ahornweg 23, 2542 Pieterlen",2880,47.17285930609854,7.338240061537902,4001669568,4.5,115.0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2,1,10
"Via Sasso Corbaro 23, 6593 Cadenazzo",2880,46.15130057952928,8.944419531213565,4001668530,4.5,115.0,3,1,5,1,2,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,3,1,2,1,1,1,0,0,0,0,20
"Niklaus Konrad-Strasse 4, 4500 Solothurn",2880,47.20451390210879,7.539104019684887,4002053939,4.5,115.0,15,1,55,1,9,1,5,1,20,1,2,1,0,0,3,1,0,0,0,0,3,1,8,1,11,1,0,0,5,1,136
"Seeblickstr. 12, 9010 St. Gallen",2880,47.44059395,9.37778435,4002039822,4.5,115.0,3,1,9,1,4,1,0,0,3,1,0,0,0,0,2,1,0,0,1,1,0,0,0,0,2,1,0,0,15,1,39
"Bellerivestrasse 49, 8008 Zürich",2880,47.3566457,8.551761367777775,4002033013,4.5,115.0,20,1,55,1,6,1,3,1,4,1,4,1,0,0,2,1,0,0,2,1,4,1,2,1,3,1,0,0,6,1,111
"Ludwigstr. 5, 9010 St. Gallen",2880,47.43990895,9.377419517139655,4002028634,4.5,115.0,7,1,16,1,10,1,1,1,3,1,0,0,0,0,2,1,0,0,1,1,0,0,2,1,2,1,0,0,13,1,57
"Guggistrasse 14 A, 6005 Luzern",7980,47.0442778,8.2996906,4002006119,5.5,260.0,18,1,49,1,15,1,5,1,8,1,1,1,0,0,0,0,0,0,0,0,1,1,4,1,2,1,0,0,34,1,137
"Giessenplatz 8, 8600 Dübendorf",7980,47.4007256,8.613221243516005,4001991943,5.5,260.0,7,1,18,1,4,1,1,1,7,1,2,1,0,0,2,1,0,0,1,1,3,1,3,1,5,1,0,0,35,1,88
"Via Sasso Corbaro 19, 6593 Cadenazzo",7980,46.15130057952928,8.944419531213565,4001979018,5.5,260.0,3,1,5,1,2,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,3,1,2,1,1,1,0,0,0,0,20
