address,price,lat,lon,property_id,rooms,area,cafe_count,cafe_present,restaurant_count,restaurant_present,bar_count,bar_present,pub_count,pub_present,fast_food_count,fast_food_present,school_count,school_present,university_count,university_present,library_count,library_present,hospital_count,hospital_present,clinic_count,clinic_present,pharmacy_count,pharmacy_present,bank_count,bank_present,atm_count,atm_present,bus_station_count,bus_station_present,parking_count,parking_present,total_amenities
"Erlenmattstr. 75, 4058 Basel",2880,47.5705088,7.6031744,4002039809,4.5,115.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
"Volkmarstrasse 15, 8006 Zürich",2880,47.38532765,8.543725200223658,4002058756,4.5,115.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Niklaus Konrad-Strasse 4, 4500 Solothurn",2880,47.20451390210879,7.539104019684887,4002053936,4.5,115.0,0,0,3,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,7
"Via Sasso Corbaro 23, 6593 Cadenazzo",2880,46.15130057952928,8.944419531213565,4001668530,4.5,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"Niklaus Konrad-Strasse 4, 4500 Solothurn",2880,47.20451390210879,7.539104019684887,4002053939,4.5,115.0,0,0,3,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,7
"Bellerivestrasse 49, 8008 Zürich",2880,47.3566457,8.551761367777775,4002033013,4.5,115.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Via Sasso Corbaro 19, 6593 Cadenazzo",7980,46.15130057952928,8.944419531213565,4001979018,5.5,260.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"Erlenmattstr. 67, 4058 Basel",7980,47.5702203,7.6026203,4001923522,5.5,260.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
"Niklaus Konrad-Strasse 4, 4500 Solothurn",7980,47.20451390210879,7.539104019684887,4002053937,5.5,260.0,0,0,3,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,7
"Hermann-Lienhardstrasse, 2502 Biel, 2504 Biel",7980,47.15335971802163,7.266918113897638,4002037903,5.5,260.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,4
