price,area,food_beverage_count,education_count,healthcare_count,financial_services_count,transportation_count
2880,115.0,237,3,19,20,10
2880,115.0,217,9,13,22,17
2880,115.0,77,8,10,13,16
2880,115.0,16,1,1,4,14
2880,115.0,20,1,1,6,7
2880,115.0,37,4,5,6,7
2880,115.0,36,7,9,4,29
2880,115.0,112,23,6,9,4
2880,115.0,164,7,4,27,11
2880,115.0,28,7,2,2,25
2880,115.0,24,2,2,3,4
2880,115.0,11,1,1,1,3
2880,115.0,14,2,3,3,1
2880,115.0,164,7,4,27,11
2880,115.0,128,10,6,15,38
2880,115.0,152,8,16,13,8
2880,115.0,127,12,7,16,43
7980,260.0,202,6,5,16,110
7980,260.0,78,6,6,16,59
7980,260.0,14,2,3,3,1
7980,260.0,9,2,2,0,0
7980,260.0,189,9,12,18,16
7980,260.0,43,5,8,15,42
7980,260.0,8,1,0,3,3
7980,260.0,8,1,0,3,3
7980,260.0,8,1,0,3,3
7980,260.0,71,5,9,15,9
7980,260.0,71,6,10,15,9
7980,260.0,164,7,4,27,11
7980,260.0,61,5,3,14,9
7980,260.0,113,7,8,13,23
7980,260.0,19,2,3,4,6
7980,260.0,71,6,10,15,9
7980,260.0,71,5,9,15,9
7980,260.0,77,7,10,15,15
7980,260.0,71,6,10,15,9
7980,260.0,4,0,1,3,5
6700,170.0,111,12,12,21,20
6700,170.0,185,6,16,15,11
6700,170.0,7,2,0,3,5
6700,170.0,246,35,16,24,13
6700,170.0,7,1,0,3,1
6700,170.0,14,4,0,3,2
6700,170.0,11,3,4,9,6
6700,170.0,67,12,4,16,4
6700,170.0,38,4,3,4,4
6700,170.0,12,2,2,4,2
6700,170.0,137,18,8,19,22
6700,170.0,58,3,8,17,14
6700,170.0,24,4,5,7,6
6700,170.0,85,6,6,22,60
6700,170.0,37,8,4,2,8
6700,170.0,12,2,5,3,0
6700,170.0,246,35,16,24,13
6700,170.0,6,2,0,4,6
6700,170.0,30,5,5,5,9
6700,170.0,18,3,1,3,8
2750,33.0,173,21,15,27,38
2750,33.0,308,15,20,35,23
2750,33.0,708,18,34,71,29
2750,33.0,59,3,12,12,7
2750,33.0,15,1,1,1,7
2750,33.0,23,4,4,2,7
2750,33.0,51,3,4,8,5
2750,33.0,37,3,4,11,25
2750,33.0,34,3,3,13,30
2750,33.0,5,0,0,1,25
2750,33.0,65,0,3,11,26
2750,33.0,12,3,0,1,35
2750,33.0,8,2,1,1,12
2750,33.0,15,1,1,9,6
2750,33.0,11,1,0,3,3
2750,33.0,4,1,0,1,4
2750,33.0,22,4,6,5,9
2750,33.0,356,34,30,21,40
2750,33.0,130,13,19,30,10
2750,33.0,67,12,4,16,4
3300,170.0,67,12,4,16,4
3300,170.0,32,6,6,7,16
3300,170.0,53,2,5,9,72
3300,170.0,42,1,3,8,28
3300,170.0,41,2,6,2,5
3300,170.0,246,35,16,24,13
3300,170.0,234,25,33,32,13
3300,170.0,708,18,34,71,29
3300,170.0,5,0,0,1,25
3300,170.0,35,7,7,3,10
3300,170.0,403,16,12,22,11
3300,170.0,192,15,24,40,31
3300,170.0,20,2,2,5,6
3300,170.0,226,9,11,28,12
3300,170.0,139,9,16,14,8
3300,170.0,47,5,12,8,7
3300,170.0,9,2,0,0,3
3300,170.0,37,10,2,13,45
3710,300.0,39,5,6,12,12
3710,300.0,83,3,10,11,29
3710,300.0,10,0,1,3,5
3710,300.0,2,1,0,1,2
3710,300.0,3,0,0,4,0
3710,300.0,9,1,0,0,2
3710,300.0,6,1,0,0,7
3710,300.0,708,18,34,71,29
3710,300.0,18,11,4,9,12
3710,300.0,272,22,15,18,12
3710,300.0,44,8,7,13,16
3710,300.0,393,33,24,44,19
3710,300.0,13,3,1,4,5
3710,300.0,15,3,4,8,9
3710,300.0,11,0,0,3,4
3710,300.0,35,8,7,3,15
3710,300.0,159,25,19,24,15
3710,300.0,167,18,12,24,42
4340,121.0,167,18,12,24,42
4340,121.0,11,3,0,2,18
4340,121.0,51,6,7,8,29
4340,121.0,18,2,1,8,2
4340,121.0,200,15,16,38,49
4340,121.0,24,0,0,5,3
4340,121.0,75,6,10,6,9
4340,121.0,224,11,20,13,11
4340,121.0,29,1,2,9,9
4340,121.0,2,1,0,1,2
4340,121.0,264,16,32,19,15
4340,121.0,50,4,3,9,180
4340,121.0,708,18,34,71,29
4340,121.0,708,18,34,71,29
4340,121.0,24,2,2,8,46
4340,121.0,100,11,7,10,44
4340,121.0,34,1,8,15,15
4340,121.0,37,7,4,13,71
4340,121.0,38,2,4,8,2
3250,150.0,4,2,0,2,12
3250,150.0,200,15,16,38,49
3250,150.0,18,1,4,9,2
3250,150.0,45,7,7,7,15
3250,150.0,18,3,5,2,15
3250,150.0,173,6,4,30,17
3250,150.0,14,5,2,7,7
3250,150.0,62,15,9,28,21
3250,150.0,713,16,33,52,26
3250,150.0,43,4,5,7,24
3250,150.0,19,2,0,1,4
3250,150.0,399,19,35,31,20
3250,150.0,109,9,7,14,6
3250,150.0,85,12,14,22,40
3250,150.0,34,4,2,5,4
3250,150.0,200,15,16,38,49
3250,150.0,87,13,8,11,18
3250,150.0,40,7,6,14,14
3250,150.0,349,21,30,27,17
5950,150.0,44,1,3,10,21
5950,150.0,44,1,3,10,21
5950,150.0,44,1,3,10,21
5950,150.0,44,1,3,10,21
5950,150.0,44,1,3,10,21
5950,150.0,44,1,3,10,21
5950,150.0,522,8,36,40,20
5950,150.0,10,4,2,7,9
5950,150.0,25,6,4,6,11
5950,150.0,71,14,11,10,12
5950,150.0,30,1,2,9,4
5950,150.0,17,1,3,3,6
5950,150.0,17,1,3,3,6
5950,150.0,17,1,3,3,6
5950,150.0,30,1,2,9,4
5950,150.0,29,1,1,8,14
5950,150.0,4,2,1,2,4
5950,150.0,6,0,2,1,2
5950,150.0,6,1,2,1,1
2280,81.0,31,4,8,10,4
2280,81.0,31,4,8,10,14
2280,81.0,27,1,4,5,4
2280,81.0,38,2,4,5,7
2280,81.0,7,0,0,1,8
2280,81.0,38,9,4,8,55
2280,81.0,68,9,11,20,8
2280,81.0,298,9,23,28,23
2280,81.0,41,4,8,6,9
2280,81.0,22,2,5,9,13
2280,81.0,49,8,2,19,33
2280,81.0,21,1,4,9,3
2280,81.0,25,3,2,7,6
2280,81.0,39,5,3,10,13
2280,81.0,40,7,6,14,14
2280,81.0,23,5,9,6,12
2280,81.0,157,3,9,11,10
2280,81.0,16,1,0,3,4
2280,81.0,22,2,5,9,13
3480,117.0,7,0,0,1,8
3480,117.0,230,10,19,32,48
3480,117.0,230,10,19,32,48
3480,117.0,223,9,19,33,51
3480,117.0,3,0,1,2,1
3480,117.0,3,0,1,2,1
3480,117.0,3,0,1,2,1
3480,117.0,150,15,13,16,42
3480,117.0,51,6,8,13,8
3480,117.0,13,1,1,9,7
3480,117.0,95,10,13,24,11
3480,117.0,29,2,5,10,9
3480,117.0,9,4,3,5,9
3480,117.0,4,0,0,0,0
3480,117.0,6,1,2,1,1
3480,117.0,95,10,13,24,11
3480,117.0,9,4,3,5,9
3480,117.0,75,5,7,18,36
3480,117.0,14,2,3,6,7
2490,108.0,23,3,1,4,8
2490,108.0,3,0,1,2,1
2490,108.0,11,1,1,1,3
2490,108.0,19,0,2,5,6
2490,108.0,51,4,4,9,6
2490,108.0,11,1,2,1,2
2490,108.0,9,4,3,5,9
2490,108.0,6,2,1,2,5
2490,108.0,11,1,2,1,2
2490,108.0,91,5,17,15,8
2490,108.0,102,7,13,15,9
2490,108.0,28,9,2,5,8
2490,108.0,8,2,1,2,3
2490,108.0,23,5,9,6,12
2490,108.0,69,11,9,14,10
2490,108.0,25,3,1,11,23
2490,108.0,44,5,10,12,6
2490,108.0,39,5,2,8,17
3590,170.0,52,5,9,14,11
3590,170.0,239,23,27,31,14
3590,170.0,25,3,0,5,20
3590,170.0,83,8,8,14,9
3590,170.0,8,0,0,1,1
3590,170.0,30,11,2,11,20
3590,170.0,14,4,2,10,8
3590,170.0,49,8,4,4,26
