price,area,food_beverage_count,education_count,healthcare_count,financial_services_count,transportation_count
2880,115.0,49,1,3,3,5
2880,115.0,16,2,1,0,0
2880,115.0,4,0,1,0,2
2880,115.0,0,0,0,0,1
2880,115.0,4,0,0,0,2
2880,115.0,2,0,0,0,5
2880,115.0,24,8,0,1,1
2880,115.0,80,2,1,7,1
2880,115.0,0,0,1,0,0
2880,115.0,6,0,0,1,2
2880,115.0,2,0,0,1,0
2880,115.0,7,1,1,1,0
2880,115.0,80,2,1,7,1
2880,115.0,1,0,0,0,5
2880,115.0,34,2,2,2,2
2880,115.0,1,0,0,0,5
7980,260.0,27,0,0,2,18
7980,260.0,8,2,1,2,6
7980,260.0,7,1,1,1,0
7980,260.0,12,2,1,0,0
7980,260.0,2,0,0,1,1
7980,260.0,1,0,0,0,0
7980,260.0,1,0,0,0,0
7980,260.0,1,0,0,0,0
7980,260.0,10,1,2,1,1
7980,260.0,10,1,2,1,1
7980,260.0,80,2,1,7,1
7980,260.0,18,4,2,8,0
7980,260.0,8,0,1,2,4
7980,260.0,8,0,2,1,2
7980,260.0,10,1,2,1,1
7980,260.0,10,1,2,1,1
7980,260.0,4,0,1,0,1
7980,260.0,10,1,2,1,1
7980,260.0,1,0,1,2,1
6700,170.0,3,2,0,0,3
6700,170.0,111,1,6,10,4
6700,170.0,1,0,0,1,0
6700,170.0,70,11,2,4,2
6700,170.0,1,0,0,0,0
6700,170.0,6,0,0,0,1
6700,170.0,2,0,0,0,0
6700,170.0,2,0,0,0,0
6700,170.0,16,2,2,2,1
6700,170.0,2,0,0,1,0
6700,170.0,41,4,4,8,4
6700,170.0,6,0,1,1,2
6700,170.0,6,1,2,5,2
6700,170.0,3,0,1,1,1
6700,170.0,0,0,0,0,1
6700,170.0,4,0,1,1,0
6700,170.0,70,11,2,4,2
6700,170.0,2,0,0,1,1
6700,170.0,5,1,1,3,2
6700,170.0,1,0,0,1,0
2750,33.0,15,3,0,1,8
2750,33.0,88,6,1,8,1
2750,33.0,271,6,11,10,11
2750,33.0,9,1,2,3,1
2750,33.0,0,0,0,0,2
2750,33.0,1,0,0,0,1
2750,33.0,2,0,0,1,0
2750,33.0,13,1,2,6,7
2750,33.0,10,1,2,4,5
2750,33.0,0,0,0,1,11
2750,33.0,25,0,2,7,3
2750,33.0,4,0,0,1,6
2750,33.0,5,2,0,0,1
2750,33.0,2,0,0,0,0
2750,33.0,0,1,0,0,0
2750,33.0,1,0,0,0,0
2750,33.0,2,0,0,0,1
2750,33.0,50,3,4,4,4
2750,33.0,23,3,3,4,0
2750,33.0,2,0,0,0,0
3300,170.0,2,0,0,0,0
3300,170.0,0,0,0,0,1
3300,170.0,13,1,2,4,6
3300,170.0,1,0,0,0,8
3300,170.0,1,0,0,0,0
3300,170.0,70,11,2,4,2
3300,170.0,25,1,4,1,1
3300,170.0,271,6,11,10,11
3300,170.0,2,0,0,1,15
3300,170.0,7,0,3,3,0
3300,170.0,118,4,6,6,0
3300,170.0,14,0,1,7,1
3300,170.0,18,1,1,3,1
3300,170.0,44,2,2,2,5
3300,170.0,4,0,3,2,1
3300,170.0,2,0,0,0,0
3300,170.0,1,0,0,0,0
3710,300.0,7,0,0,0,2
3710,300.0,6,0,0,0,0
3710,300.0,2,1,0,1,0
3710,300.0,0,1,0,0,1
3710,300.0,1,0,0,0,4
3710,300.0,271,6,11,10,11
3710,300.0,0,1,0,0,2
3710,300.0,18,1,1,1,1
3710,300.0,11,1,1,4,4
3710,300.0,30,5,4,6,3
3710,300.0,2,1,1,1,0
3710,300.0,0,0,0,2,0
3710,300.0,2,1,1,0,6
3710,300.0,21,3,2,5,3
3710,300.0,19,4,0,1,4
4340,121.0,19,4,0,1,4
4340,121.0,1,1,0,0,1
4340,121.0,4,1,0,0,13
4340,121.0,3,1,0,1,0
4340,121.0,12,4,0,1,11
4340,121.0,10,1,1,0,1
4340,121.0,34,0,3,2,2
4340,121.0,2,1,0,1,0
4340,121.0,37,2,6,2,4
4340,121.0,8,0,1,2,23
4340,121.0,271,6,11,10,11
4340,121.0,271,6,11,10,11
4340,121.0,2,0,1,2,14
4340,121.0,7,0,3,3,5
4340,121.0,0,0,0,0,2
4340,121.0,10,2,0,2,14
4340,121.0,4,0,0,1,1
3250,150.0,0,1,0,0,4
3250,150.0,12,4,0,1,11
3250,150.0,2,0,0,0,0
3250,150.0,0,0,0,0,1
3250,150.0,8,2,3,2,2
3250,150.0,3,2,0,0,0
3250,150.0,3,1,1,3,0
3250,150.0,1,0,0,0,2
3250,150.0,243,8,5,11,1
3250,150.0,4,0,0,3,2
3250,150.0,103,7,3,7,5
3250,150.0,3,0,0,0,1
3250,150.0,67,8,8,18,21
3250,150.0,2,0,1,0,0
3250,150.0,12,4,0,1,11
3250,150.0,12,2,0,0,2
3250,150.0,2,0,0,1,1
3250,150.0,39,6,4,2,1
5950,150.0,1,0,0,0,1
5950,150.0,1,0,0,0,1
5950,150.0,1,0,0,0,1
5950,150.0,1,0,0,0,1
5950,150.0,1,0,0,0,1
5950,150.0,1,0,0,0,1
5950,150.0,201,0,15,27,6
5950,150.0,9,1,2,3,3
5950,150.0,10,1,1,2,1
5950,150.0,1,1,0,2,2
5950,150.0,1,0,0,0,1
5950,150.0,1,0,0,0,1
5950,150.0,1,0,0,0,1
5950,150.0,1,1,0,2,2
5950,150.0,5,0,1,4,0
5950,150.0,0,0,1,1,2
5950,150.0,2,0,1,0,0
5950,150.0,1,0,0,0,0
2280,81.0,6,1,1,2,0
2280,81.0,5,0,2,3,1
2280,81.0,3,0,1,1,0
2280,81.0,0,1,0,0,1
2280,81.0,1,0,0,1,1
2280,81.0,1,1,0,0,0
2280,81.0,3,3,0,0,0
2280,81.0,51,4,3,0,0
2280,81.0,2,1,1,0,0
2280,81.0,1,0,2,1,1
2280,81.0,9,2,1,6,10
2280,81.0,6,0,2,4,0
2280,81.0,6,0,0,1,1
2280,81.0,0,0,0,0,2
2280,81.0,2,0,0,1,1
2280,81.0,1,0,0,0,3
2280,81.0,24,0,1,6,0
2280,81.0,7,0,0,1,1
2280,81.0,1,0,2,1,1
3480,117.0,1,0,0,1,1
3480,117.0,25,1,2,0,3
3480,117.0,25,1,2,0,3
3480,117.0,36,1,5,4,7
3480,117.0,2,0,1,2,1
3480,117.0,2,0,1,2,1
3480,117.0,2,0,1,2,1
3480,117.0,17,1,2,3,10
3480,117.0,3,0,0,1,2
3480,117.0,58,4,9,16,4
3480,117.0,12,0,3,7,2
3480,117.0,1,0,0,0,0
3480,117.0,1,0,0,0,0
3480,117.0,58,4,9,16,4
3480,117.0,3,0,0,1,0
3480,117.0,2,0,0,1,0
2490,108.0,4,1,0,2,0
2490,108.0,2,0,1,2,1
2490,108.0,1,0,0,1,0
2490,108.0,4,0,0,1,2
2490,108.0,1,1,0,0,0
2490,108.0,1,0,0,0,1
2490,108.0,1,0,0,0,0
2490,108.0,1,0,0,0,1
2490,108.0,1,0,0,0,2
2490,108.0,4,0,0,0,1
2490,108.0,5,3,1,4,3
2490,108.0,2,1,0,1,0
2490,108.0,1,0,0,0,3
2490,108.0,39,4,6,12,2
2490,108.0,6,0,0,2,0
2490,108.0,6,1,1,2,0
2490,108.0,20,3,1,5,5
3590,170.0,34,0,5,10,3
3590,170.0,139,16,8,16,3
3590,170.0,4,1,0,0,2
3590,170.0,15,0,3,1,2
3590,170.0,5,0,0,1,0
3590,170.0,1,0,0,0,2
3590,170.0,7,0,4,1,1
3590,170.0,5,0,0,1,0
3590,170.0,3,0,1,0,0
3590,170.0,1,0,0,0,4
3590,170.0,0,0,0,0,1
3590,170.0,23,3,1,1,9
3590,170.0,39,4,6,12,2
3590,170.0,1,0,0,0,2
3590,170.0,2,0,0,0,0
3590,170.0,7,1,1,1,0
2030,140.0,4,0,1,0,1
2030,140.0,3,1,0,2,4
2030,140.0,6,0,0,3,0
2030,140.0,7,1,0,1,3
2030,140.0,1,0,0,0,0
2030,140.0,21,3,2,2,2
2030,140.0,6,1,1,2,0
2030,140.0,6,1,1,2,0
2030,140.0,7,1,1,1,0
2030,140.0,21,3,2,2,2
2030,140.0,1,0,0,0,1
2030,140.0,2,0,0,1,0
2030,140.0,3,0,4,3,0
2030,140.0,10,2,4,5,1
2030,140.0,25,4,2,1,0
2030,140.0,47,6,6,15,14
2030,140.0,9,1,1,1,0
2030,140.0,29,5,4,3,0
2590,122.0,5,2,1,1,0
2590,122.0,4,2,0,2,3
2590,122.0,94,7,10,17,9
2590,122.0,1,1,0,4,3
2590,122.0,1,0,0,0,1
2590,122.0,7,0,4,1,1
2590,122.0,1,0,0,0,0
2590,122.0,4,0,0,0,0
2590,122.0,7,1,1,3,7
2590,122.0,116,4,6,8,6
2590,122.0,34,1,3,9,3
2590,122.0,34,0,5,10,3
3270,128.0,5,0,1,1,1
3270,128.0,21,0,1,0,2
3270,128.0,7,0,0,3,3
3270,128.0,1,0,0,0,0
3270,128.0,2,0,0,1,0
3270,128.0,2,0,3,1,2
3270,128.0,94,3,7,20,15
3270,128.0,8,0,1,0,1
3270,128.0,59,4,5,9,20
3270,128.0,5,1,0,1,0
3270,128.0,1,0,0,0,1
3270,128.0,29,5,4,3,0
3270,128.0,1,0,0,0,2
3270,128.0,29,5,4,3,0
3270,128.0,24,5,2,5,2
3270,128.0,2,1,0,1,1
3480,120.0,225,6,13,29,4
3480,120.0,0,0,0,0,1
3480,120.0,19,2,0,1,4
3480,120.0,2,2,0,1,1
3480,120.0,27,6,3,0,3
3480,120.0,2,1,0,1,0
3480,120.0,2,1,0,0,0
3480,120.0,21,0,1,0,2
3480,120.0,110,1,8,11,2
3480,120.0,24,0,3,9,4
3480,120.0,41,7,4,2,2
3480,120.0,1,1,0,0,0
3480,120.0,4,1,0,0,1
3480,120.0,32,3,3,7,1
3480,120.0,19,0,1,0,0
3480,120.0,1,0,0,0,2
2240,110.0,4,0,0,0,1
2240,110.0,1,0,0,0,3
2240,110.0,4,0,0,2,1
2240,110.0,18,1,3,7,9
2240,110.0,5,1,1,0,2
2240,110.0,0,0,0,0,3
2240,110.0,1,1,0,1,0
2240,110.0,8,0,2,0,0
2240,110.0,21,3,2,2,2
2240,110.0,24,2,3,1,0
2240,110.0,8,3,2,0,3
2240,110.0,2,0,1,2,5
2240,110.0,2,0,0,0,4
2240,110.0,1,0,0,0,3
2240,110.0,58,3,6,2,4
2240,110.0,184,5,5,10,2
2240,110.0,8,1,1,6,5
2140,81.0,2,0,3,0,0
2140,81.0,7,1,1,5,0
2140,81.0,3,0,0,0,0
2140,81.0,5,0,0,0,0
2140,81.0,1,0,0,0,0
2140,81.0,1,1,0,0,0
2140,81.0,16,0,1,3,0
2140,81.0,1,0,0,0,2
2140,81.0,0,0,0,0,4
2140,81.0,6,0,0,0,0
2140,81.0,7,1,0,2,0
2140,81.0,19,0,3,2,5
2140,81.0,1,0,0,0,0
2140,81.0,19,2,3,3,0
2140,81.0,0,3,0,2,15
2140,81.0,3,0,1,5,1
2490,120.0,8,0,3,5,0
2490,120.0,91,1,4,5,1
2490,120.0,5,0,1,1,1
2490,120.0,9,0,0,2,0
2490,120.0,3,3,2,1,0
2490,120.0,37,0,3,9,6
2490,120.0,6,1,0,2,0
2490,120.0,33,1,4,2,3
2490,120.0,2,0,1,0,6
2490,120.0,3,0,0,0,1
2490,120.0,2,0,2,0,2
2490,120.0,1,0,0,1,3
2490,120.0,8,0,1,0,0
2490,120.0,6,0,1,1,0
2490,120.0,28,4,3,0,2
2490,120.0,10,1,1,3,2
2490,120.0,1,0,0,1,4
