price,area,food_beverage_present,education_present,healthcare_present,financial_services_present,transportation_present
2880,115.0,1,0,1,0,0
2880,115.0,0,0,0,0,1
2880,115.0,1,0,0,0,0
2880,115.0,4,1,1,1,1
2880,115.0,2,1,1,1,0
2880,115.0,4,1,1,1,1
2880,115.0,0,0,0,0,1
2880,115.0,2,0,0,0,1
2880,115.0,0,0,0,0,1
7980,260.0,2,1,1,1,0
7980,260.0,1,0,1,0,0
7980,260.0,1,0,0,0,0
7980,260.0,1,0,0,0,0
7980,260.0,1,0,0,0,0
7980,260.0,4,1,1,1,1
7980,260.0,3,1,1,1,0
7980,260.0,2,0,1,1,0
7980,260.0,1,0,1,2,0
6700,170.0,1,0,0,0,0
6700,170.0,1,0,0,0,0
6700,170.0,1,0,0,1,0
6700,170.0,4,1,0,0,0
6700,170.0,3,0,0,0,0
6700,170.0,3,0,1,1,1
6700,170.0,1,0,0,1,1
6700,170.0,1,1,0,1,1
6700,170.0,0,0,0,0,1
6700,170.0,4,1,0,0,0
6700,170.0,1,0,0,1,0
2750,33.0,1,0,0,1,1
2750,33.0,4,2,0,0,0
2750,33.0,3,0,0,0,0
2750,33.0,0,0,0,0,1
2750,33.0,3,0,1,1,1
2750,33.0,3,1,1,1,1
2750,33.0,0,0,0,0,1
2750,33.0,0,0,0,1,1
2750,33.0,1,0,0,0,1
2750,33.0,2,1,0,0,0
2750,33.0,2,0,0,0,0
2750,33.0,0,1,0,0,0
2750,33.0,3,1,1,0,0
3300,170.0,0,0,0,0,1
3300,170.0,2,0,1,0,0
3300,170.0,1,0,0,0,1
3300,170.0,4,1,0,0,0
3300,170.0,2,0,1,0,0
3300,170.0,3,0,0,0,0
3300,170.0,0,0,0,0,1
3300,170.0,2,0,0,0,0
3300,170.0,1,0,0,1,0
3300,170.0,2,0,0,0,0
3300,170.0,1,0,0,0,0
3710,300.0,1,0,0,1,0
3710,300.0,3,0,0,0,0
3710,300.0,0,1,0,0,1
3710,300.0,2,0,1,1,0
3710,300.0,1,0,1,0,0
3710,300.0,2,0,1,0,1
3710,300.0,1,0,1,0,0
3710,300.0,0,0,0,0,1
3710,300.0,2,1,1,1,0
4340,121.0,0,1,0,0,0
4340,121.0,0,1,0,0,1
4340,121.0,2,0,0,0,0
4340,121.0,3,1,0,0,1
4340,121.0,3,0,0,0,1
4340,121.0,0,0,1,0,0
4340,121.0,1,0,0,1,0
4340,121.0,0,0,0,0,1
4340,121.0,3,0,0,0,0
4340,121.0,3,0,0,0,0
4340,121.0,0,0,0,1,1
4340,121.0,1,0,0,1,0
4340,121.0,0,0,0,0,1
4340,121.0,1,0,0,0,1
4340,121.0,1,0,0,0,0
3250,150.0,0,0,0,0,1
3250,150.0,3,1,0,0,1
3250,150.0,2,0,1,0,0
3250,150.0,1,1,0,0,0
3250,150.0,2,0,1,2,0
3250,150.0,1,0,0,0,1
3250,150.0,5,1,2,1,0
3250,150.0,1,0,0,0,0
3250,150.0,4,1,1,0,1
3250,150.0,1,0,0,0,0
3250,150.0,3,0,0,1,1
3250,150.0,3,1,0,0,1
3250,150.0,1,1,0,0,0
3250,150.0,1,0,0,1,1
3250,150.0,2,2,0,0,0
5950,150.0,4,0,1,2,1
5950,150.0,2,0,1,2,0
5950,150.0,0,0,0,0,1
5950,150.0,0,0,0,0,1
5950,150.0,0,0,0,0,1
5950,150.0,0,0,0,0,1
5950,150.0,0,0,0,0,1
5950,150.0,1,0,1,2,0
2280,81.0,1,0,0,0,0
2280,81.0,0,0,0,1,0
2280,81.0,1,0,0,0,0
2280,81.0,4,0,0,0,0
2280,81.0,2,1,1,2,1
2280,81.0,1,0,1,0,0
2280,81.0,1,0,0,1,0
2280,81.0,0,0,0,0,1
2280,81.0,1,0,0,1,1
2280,81.0,0,0,0,0,1
2280,81.0,3,0,0,0,0
2280,81.0,2,0,0,0,1
3480,117.0,0,0,0,1,0
3480,117.0,1,0,0,0,0
3480,117.0,1,0,0,0,0
3480,117.0,1,0,0,0,0
3480,117.0,1,0,0,1,0
3480,117.0,1,0,2,0,1
3480,117.0,0,0,0,2,1
3480,117.0,1,0,0,0,0
3480,117.0,1,0,2,0,1
3480,117.0,1,0,0,0,0
3480,117.0,0,0,0,1,0
2490,108.0,2,1,0,2,0
2490,108.0,0,0,0,1,1
2490,108.0,0,0,0,0,1
2490,108.0,0,0,0,0,1
2490,108.0,1,0,0,1,0
2490,108.0,0,0,0,0,1
2490,108.0,3,0,1,2,1
2490,108.0,3,0,0,1,0
2490,108.0,5,1,1,2,1
3590,170.0,5,2,1,0,0
3590,170.0,2,1,0,0,1
3590,170.0,2,0,0,0,0
3590,170.0,2,0,0,0,0
3590,170.0,2,0,1,0,0
3590,170.0,1,0,0,0,0
3590,170.0,3,0,0,1,0
3590,170.0,3,0,1,2,1
3590,170.0,1,0,0,0,0
3590,170.0,3,1,1,1,0
2030,140.0,0,1,0,0,0
2030,140.0,1,0,0,0,0
2030,140.0,3,1,1,0,0
2030,140.0,3,1,1,1,0
2030,140.0,3,1,1,0,0
2030,140.0,1,0,0,0,1
2030,140.0,1,0,0,1,0
2030,140.0,2,1,1,1,1
2030,140.0,2,0,0,0,0
2030,140.0,1,2,0,0,1
2030,140.0,2,0,1,0,0
2030,140.0,3,0,0,1,0
2590,122.0,0,1,0,0,1
2590,122.0,0,0,1,0,0
2590,122.0,1,0,0,0,1
2590,122.0,1,0,0,0,0
2590,122.0,0,0,0,0,1
2590,122.0,5,0,1,0,0
2590,122.0,2,0,1,1,1
3270,128.0,1,0,0,0,1
3270,128.0,1,0,0,2,1
3270,128.0,1,0,0,0,0
3270,128.0,1,0,1,0,0
3270,128.0,4,0,1,2,1
3270,128.0,4,0,1,1,1
3270,128.0,3,0,0,1,0
3270,128.0,1,0,0,0,0
3270,128.0,3,0,0,1,0
3270,128.0,1,0,0,0,0
3480,120.0,3,0,1,0,0
3480,120.0,0,0,0,0,1
3480,120.0,1,0,0,0,0
3480,120.0,2,0,0,1,0
3480,120.0,2,0,0,0,0
3480,120.0,1,0,0,0,0
3480,120.0,1,0,0,0,1
3480,120.0,3,0,0,0,0
3480,120.0,1,1,0,0,0
3480,120.0,1,0,0,0,0
3480,120.0,5,1,1,2,0
3480,120.0,1,0,0,0,1
2240,110.0,1,0,0,0,0
2240,110.0,1,0,0,0,0
2240,110.0,0,0,0,0,1
2240,110.0,3,1,1,0,0
2240,110.0,1,0,1,0,0
2240,110.0,0,1,0,0,0
2240,110.0,1,0,0,0,0
2240,110.0,1,0,0,0,1
2240,110.0,1,0,0,0,0
2240,110.0,3,0,1,0,0
2240,110.0,5,0,0,1,0
2240,110.0,1,0,0,0,0
2140,81.0,1,0,0,0,0
2140,81.0,1,0,0,0,0
2140,81.0,1,0,0,0,0
2140,81.0,0,0,0,0,1
2140,81.0,0,0,0,0,1
2140,81.0,2,0,0,1,0
2140,81.0,3,0,1,1,1
2140,81.0,1,0,0,0,0
2140,81.0,0,0,0,0,1
2140,81.0,1,0,0,1,0
2490,120.0,4,0,1,1,0
2490,120.0,2,0,0,1,0
2490,120.0,1,1,1,0,0
2490,120.0,2,0,1,0,1
2490,120.0,2,1,0,1,0
2490,120.0,0,0,0,0,1
2490,120.0,0,0,0,1,1
2490,120.0,3,0,1,0,0
2490,120.0,2,0,1,0,0
1690,49.0,3,1,1,0,0
1690,49.0,1,0,0,0,0
1690,49.0,1,0,0,0,0
1690,49.0,0,0,0,0,1
1690,49.0,0,0,0,0,1
1690,49.0,1,0,0,0,1
1690,49.0,1,0,0,0,1
1690,49.0,1,0,0,0,0
1690,49.0,0,0,0,0,1
1690,49.0,5,0,1,2,0
4760,170.0,1,0,0,1,0
4760,170.0,1,0,0,0,0
4760,170.0,0,0,1,0,1
4760,170.0,0,0,1,0,1
4760,170.0,3,0,0,0,0
4760,170.0,0,0,1,0,1
4760,170.0,0,0,0,0,1
4760,170.0,2,0,0,0,0
4760,170.0,1,0,0,0,0
4760,170.0,3,0,0,0,0
4760,170.0,3,1,1,0,1
4760,170.0,3,0,0,1,0
4760,170.0,3,2,1,0,0
4760,170.0,2,1,1,1,1
2110,97.0,0,0,0,0,1
2110,97.0,1,0,0,0,0
2110,97.0,1,0,1,0,0
2110,97.0,1,1,0,0,0
2110,97.0,5,0,1,2,0
2110,97.0,1,0,1,1,1
2110,97.0,2,0,1,1,1
2110,97.0,1,0,1,1,1
2110,97.0,1,0,0,0,0
2110,97.0,0,0,0,1,0
