rooms,cafe_count,cafe_present,restaurant_count,restaurant_present,bar_count,bar_present,pub_count,pub_present,fast_food_count,fast_food_present,school_count,school_present,university_count,university_present,library_count,library_present,hospital_count,hospital_present,clinic_count,clinic_present,pharmacy_count,pharmacy_present,bank_count,bank_present,atm_count,atm_present,bus_station_count,bus_station_present,parking_count,parking_present,total_amenities,area_numeric,price_numeric
4.5,5,1,17,1,5,1,2,1,6,1,0,0,0,0,1,1,0,0,0,0,3,1,0,0,3,1,0,0,5,1,47,115.0,2880
4.5,2,1,12,1,3,1,2,1,3,1,1,1,1,1,2,1,0,0,0,0,2,1,1,1,1,1,0,0,0,0,30,115.0,2880
4.5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,4,115.0,2880
4.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,3,1,7,115.0,2880
4.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,115.0,2880
4.5,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,10,115.0,2880
4.5,2,1,5,1,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,115.0,2880
4.5,5,1,20,1,4,1,1,1,8,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,3,1,0,0,2,1,46,115.0,2880
4.5,2,1,3,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,1,1,11,115.0,2880
4.5,0,0,4,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,115.0,2880
4.5,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,115.0,2880
4.5,0,0,3,1,2,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,11,115.0,2880
4.5,5,1,20,1,4,1,1,1,8,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,3,1,0,0,2,1,46,115.0,2880
4.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,115.0,2880
4.5,6,1,22,1,2,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,2,1,0,0,2,1,0,0,2,1,41,115.0,2880
4.5,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,9,115.0,2880
5.5,1,1,10,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,17,260.0,7980
5.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,260.0,7980
5.5,0,0,3,1,2,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,11,260.0,7980
5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,260.0,7980
5.5,2,1,10,1,3,1,2,1,3,1,1,1,0,0,2,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,26,260.0,7980
5.5,1,1,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,10,1,21,260.0,7980
5.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,260.0,7980
5.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,260.0,7980
5.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,260.0,7980
5.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,260.0,7980
5.5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,260.0,7980
5.5,5,1,20,1,4,1,1,1,8,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,3,1,0,0,2,1,46,260.0,7980
5.5,3,1,16,1,1,1,0,0,2,1,1,1,0,0,3,1,0,0,0,0,2,1,3,1,5,1,0,0,0,0,36,260.0,7980
5.5,1,1,10,1,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2,1,0,0,4,1,22,260.0,7980
5.5,0,0,8,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,1,2,1,2,1,0,0,2,1,21,260.0,7980
5.5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,260.0,7980
5.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,260.0,7980
5.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,260.0,7980
5.5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,260.0,7980
5.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,5,260.0,7980
6.5,0,0,5,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,10,170.0,6700
6.5,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,170.0,6700
6.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,170.0,6700
6.5,11,1,30,1,0,0,1,1,6,1,6,1,0,0,6,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,63,170.0,6700
6.5,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,170.0,6700
6.5,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,170.0,6700
6.5,1,1,12,1,2,1,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,1,1,2,1,0,0,1,1,24,170.0,6700
6.5,2,1,15,1,0,0,2,1,2,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,28,170.0,6700
6.5,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,6,170.0,6700
6.5,8,1,25,1,1,1,1,1,10,1,4,1,0,0,1,1,0,0,0,0,4,1,3,1,5,1,0,0,4,1,66,170.0,6700
6.5,2,1,11,1,1,1,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2,1,0,0,3,1,23,170.0,6700
6.5,0,0,4,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,2,1,4,1,1,1,0,0,2,1,16,170.0,6700
6.5,4,1,8,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,7,1,0,0,2,1,28,170.0,6700
6.5,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,170.0,6700
6.5,0,0,2,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,8,170.0,6700
6.5,11,1,30,1,0,0,1,1,6,1,6,1,0,0,6,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,63,170.0,6700
6.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,4,170.0,6700
6.5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,170.0,6700
6.5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,170.0,6700
2.5,2,1,8,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,5,1,20,33.0,2750
2.5,7,1,40,1,10,1,3,1,10,1,1,1,1,1,6,1,0,0,0,0,0,0,1,1,3,1,0,0,2,1,84,33.0,2750
2.5,13,1,80,1,42,1,5,1,24,1,1,1,0,0,0,0,0,0,3,1,4,1,0,0,4,1,0,0,7,1,183,33.0,2750
2.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,1,1,7,33.0,2750
2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,33.0,2750
2.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,33.0,2750
2.5,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,5,33.0,2750
2.5,1,1,10,1,1,1,0,0,5,1,0,0,0,0,2,1,0,0,0,0,2,1,3,1,6,1,0,0,11,1,41,33.0,2750
2.5,1,1,10,1,1,1,0,0,4,1,0,0,0,0,1,1,0,0,0,0,2,1,3,1,6,1,0,0,9,1,37,33.0,2750
2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,1,11,33.0,2750
2.5,5,1,11,1,3,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,1,0,0,7,1,40,33.0,2750
2.5,1,1,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,1,16,33.0,2750
2.5,1,1,4,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,12,33.0,2750
2.5,2,1,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,33.0,2750
2.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,33.0,2750
2.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.0,2750
2.5,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,2,1,8,33.0,2750
2.5,7,1,45,1,1,1,0,0,5,1,1,1,1,1,1,1,0,0,1,1,4,1,4,1,2,1,0,0,9,1,81,33.0,2750
2.5,6,1,19,1,0,0,2,1,4,1,2,1,0,0,2,1,0,0,0,0,4,1,3,1,2,1,0,0,2,1,46,33.0,2750
2.5,1,1,12,1,2,1,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,1,1,2,1,0,0,1,1,24,33.0,2750
4.5,1,1,12,1,2,1,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,1,1,2,1,0,0,1,1,24,170.0,3300
4.5,2,1,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,2,1,2,1,2,1,0,0,1,1,17,170.0,3300
4.5,3,1,10,1,2,1,0,0,4,1,0,0,0,0,1,1,0,0,0,0,2,1,2,1,1,1,0,0,46,1,71,170.0,3300
4.5,1,1,2,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3,1,1,1,16,1,28,170.0,3300
4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170.0,3300
4.5,11,1,30,1,0,0,1,1,6,1,6,1,0,0,6,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,63,170.0,3300
4.5,5,1,17,1,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,1,0,0,1,1,35,170.0,3300
4.5,13,1,80,1,42,1,5,1,24,1,1,1,0,0,0,0,0,0,3,1,4,1,0,0,4,1,0,0,7,1,183,170.0,3300
4.5,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,22,1,26,170.0,3300
4.5,0,0,7,1,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,4,1,2,1,1,1,0,0,1,1,18,170.0,3300
4.5,10,1,41,1,7,1,2,1,12,1,1,1,0,0,0,0,0,0,0,0,3,1,1,1,4,1,0,0,0,0,81,170.0,3300
4.5,2,1,14,1,0,0,0,0,4,1,0,0,0,0,1,1,0,0,1,1,1,1,7,1,1,1,0,0,1,1,32,170.0,3300
4.5,2,1,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,1,10,170.0,3300
4.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,170.0,3300
4.5,8,1,21,1,2,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,2,1,0,0,2,1,0,0,3,1,41,170.0,3300
4.5,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,2,1,0,0,1,1,11,170.0,3300
4.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170.0,3300
4.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170.0,3300
8.5,1,1,5,1,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,1,14,300.0,3710
8.5,1,1,11,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,1,0,0,5,1,26,300.0,3710
8.5,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,7,300.0,3710
8.5,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,300.0,3710
8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,300.0,3710
8.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,300.0,3710
8.5,13,1,80,1,42,1,5,1,24,1,1,1,0,0,0,0,0,0,3,1,4,1,0,0,4,1,0,0,7,1,183,300.0,3710
8.5,2,1,4,1,0,0,1,1,0,0,3,1,0,0,3,1,0,0,0,0,1,1,3,1,1,1,0,0,3,1,21,300.0,3710
8.5,10,1,20,1,1,1,0,0,9,1,2,1,0,0,1,1,0,0,0,0,1,1,0,0,2,1,0,0,3,1,49,300.0,3710
8.5,5,1,9,1,2,1,0,0,1,1,2,1,0,0,0,0,1,1,0,0,2,1,3,1,3,1,0,0,7,1,35,300.0,3710
