address,price,lat,lon,property_id,rooms,area,cafe_count,cafe_present,restaurant_count,restaurant_present,bar_count,bar_present,pub_count,pub_present,fast_food_count,fast_food_present,school_count,school_present,university_count,university_present,library_count,library_present,hospital_count,hospital_present,clinic_count,clinic_present,pharmacy_count,pharmacy_present,bank_count,bank_present,atm_count,atm_present,bus_station_count,bus_station_present,parking_count,parking_present,total_amenities
"Bläsiring 10, 4057 Basel",,47.5683969,7.5871397,4002065802,4.5,115m²,52,1,209,1,55,1,15,1,59,1,5,1,2,1,12,1,1,1,1,1,29,1,11,1,27,1,0,0,21,1,499
"Erlenmattstr. 75, 4058 Basel",,47.5705088,7.6031744,4002039809,4.5,115m²,70,1,223,1,58,1,15,1,63,1,5,1,1,1,15,1,1,1,4,1,32,1,24,1,32,1,0,0,47,1,590
"Käferholzstrasse 60, 8057 Zürich",,47.402542600000004,8.532090116551142,4001947102,4.5,115m²,33,1,133,1,25,1,4,1,58,1,14,1,3,1,10,1,0,0,6,1,17,1,11,1,25,1,0,0,42,1,381
"Fahrnstrasse 25, 9402 Mörschwil",,47.4639669,9.432168388679248,4002080979,4.5,115m²,6,1,57,1,9,1,3,1,6,1,5,1,0,0,4,1,0,0,4,1,1,1,4,1,4,1,0,0,63,1,166
"Herrenhof 868, 9240 Niederglatt",,47.4240752,9.1598683,4002077676,4.5,115m²,3,1,26,1,2,1,0,0,9,1,3,1,0,0,2,1,0,0,1,1,2,1,3,1,10,1,0,0,15,1,76
"weidstrasse 11, 8620 Wetzikon ZH",,47.3313055,8.797855599364542,4002077272,4.5,115m²,12,1,18,1,8,1,1,1,9,1,5,1,0,0,2,1,0,0,4,1,3,1,5,1,2,1,1,1,29,1,99
"Muttenzerstrasse 129, 4127 Birsfelden",,47.5447189,7.62688715,4002059199,4.5,115m²,15,1,83,1,10,1,2,1,15,1,11,1,1,1,8,1,0,0,4,1,14,1,11,1,15,1,0,0,48,1,237
"Volkmarstrasse 15, 8006 Zürich",,47.38532765,8.543725200223658,4002058756,4.5,115m²,84,1,201,1,34,1,9,1,81,1,19,1,1,1,22,1,0,0,5,1,21,1,4,1,29,1,0,0,23,1,533
"Niklaus Konrad-Strasse 4, 4500 Solothurn",,47.204513902108786,7.539104019684887,4002053936,4.5,115m²,26,1,131,1,19,1,10,1,29,1,4,1,0,0,6,1,0,0,0,0,6,1,19,1,21,1,0,0,30,1,301
"Hölzliweg 9, 8405 Winterthur",,47.4859972,8.77093975,4002014835,4.5,115m²,12,1,45,1,8,1,6,1,19,1,10,1,0,0,1,1,0,0,1,1,5,1,2,1,4,1,0,0,42,1,155
